,Unnamed: 0,Restaurant_Name,Restaurant_rated,Review_Written_By,User_Rated_Restaurant,Written_Review,Sentiment_Rating
639,639,Toit,4.7,Yash Parkar,4.0,"Good place to chill. Gives you a feel of European Beer cafe.❤️ good food, 6-7 different types of brewed beers! Good ambiance, good music 🎶 all in all good experience",1
640,640,Toit,4.7,Sameer Ranade,4.0,"The place is obviously famous for its craft beers including Lager, Blonde Ale, Bavarian Hefeweizen , Belgian white beer , Indian Pale Ale amongst others along with Toit cocktails , mocktails and other beverages . The food menu compliments the beers which includes finger food/ bar bites, wood fired pizzas, sandwiches and burgers along with soups, salads , pastas , pub classic mains and desserts . The wood fire pizzas are good. The appetizers and mains have a sub column called ‘from benguluru’ which includes Okra Podi Chips and Chilli cheese bhajji in appetizers and Potato and Green Mango Curry , Mushroom Chettinad, Naadan Chicken Curry, Goan Curry , Pandi Curry , Donne Biryani...read more",1
641,641,Toit,4.7,Aditya Bajaj,4.0,"This place is LIT 🔥 as it serves flavoured beers with amazing food . Good music and beautiful ambience can just make you spend hours here ❤️.
.
WHAT : DRUNKEN PIZZA - Pizza with vodka ! Doesn’t this sound trendy ? A thin based pizza with good flavors of cheese, sauces ,garlic and a bit of vodka to give it a nice juicy taste that will tempt you everytime you think of having a pizza . ❤️
.
ANGRY EGG PUFF - This is light pastry case with spiced up onion filling and boiled eggs with lots of cheese on top this fusion of cheese and spice is a rare combination with a nice crisp which makes me crave for it more and more ❤️",1
642,642,Toit,4.7,Anil Shevante,4.0,"It's a good place. Renovated to fit the contemporary essence of the crowd, they have some very good variety in food menu. I know people go there for their freshly brewed beer, I liked the food even more than beer. Crispy Okra, kerela beef, chicken chettinad and few dishes in veg were really good. It's a kind of classy place, so bear in mind about your appearance if you want to impress someone. 😉",1
644,644,Toit,4.7,Vandit,5.0,"This is a must go place to party on weekend in Pune.
You will not find any better place than this in terms of ambience and service.
The food is great too.

There is a pizza fest going on currently at toit and all the pizzas are yummy.
For start, you can go for Full-toit house pizza.
Among starters, go for Mac n cheese balls.

However you have to wait to get a table as this place is usually very crowded on weekends which explains the great ambience and this wait is worth it.",1
645,645,Toit,4.7,Sohamm Patil,4.0,"The place has a great ambience and their pizza was delicious! Absolutely full marks for it.
4 stars because of the service which was slow and every time we wanted water, we had to ask them and then they would get us a glass of water.
It's a must visit place!",1
646,646,Toit,4.7,Prachi Jagtap,4.0,"Good ambience, they also have a community table, great service- very polite people, good beer, i tried the belgian wheat and pune lager, and thhough you get tbe same beers everywhere these ones have something else to them must try.. in food i had the smoked salmon goat cheese bruschetta and it was yummmm! Also tried the chilli cheese bhajji with tamrind chutney, the bhajji was nice but the chuttbey need some work, it was watery and the flavor can be worked upon a little.. the cheesecake was just yum! over all a good experience, will visit again.. Keshav (i think thats what his name is) was waiting my table and he was very sweet..",1
647,647,Toit,4.7,Minerva Mohapatra,5.0,"This place has all the elements which makes it a fulfilling experience. Right from the interiors,the brewed beer to the food, everything is just awesome. We had ordered drunken chicken pizza and fish pollichathu. The fish just melted in the mouth and had distinct flavours. It was cooked wrapped in a banana leaf and it is a must try for fish lovers. The chicken was also equally good. Overall a must visit place for a great evening outing.",1
648,648,Toit,4.7,Ajit Chajed,5.0,"Toit! This place is literally lit. Been going there twice a week atleast for last 3 months. That’s how amazing Toit is. Great ambience - Great Beer - Great food - Great service, now that’s really a rare combination and win-win.
Personal favourite is their Weiss beer ( Heavy bodied hefe Wiezen ), then their Tin Tin beer is also great for people who like to have something light ( it’s a Belgian wit )
Watermelon feta salad is mouth melting.
Do try their potato wedges.
Their authentic juicy wood fired pizzas are sumptuous.
Quite amazing stuff on their menu from the south India chettinad style cuisine.
Highly recommended! Visit once, and I am sure you ll want to go again n again!!...read more",1
649,649,Toit,4.7,Kunal Agarwal,5.0,"This is a great place to hangout with your friends on a Friday/Saturday night, fully packed with some good music and beer at a very reasonable rate. They have their own brewery and good amount of seating available both indoors and outdoors, reach early on weekends if you want to grab your seats at first place otherwise you have to wait.
This is a great place to hangout with your friends on a Friday/Saturday night, fully packed with some good music and beer at a very reasonable rate.

I am editing this review as I visited Toit again on a Friday night and I still believe this is one of the best Pub in Pune. Such a great ambience.",1
650,650,Toit,4.7,Gaurav Malhotra,5.0,Had a lovely visit to the Toit in Kalyani Nagar. The food was amazing and the service par excellence. Loved the overall ambience as well. Great place folks. Keep the standards as high please,1
651,651,Toit,4.7,Umang Agrawal,1.0,Way below the expectations. Visited Toit Bangalore a lot of times and always left with a happy experience. But Toit Pune and walked out with utter disappointment in terms of the taste of beer and food both. Except ambience nothing was good. Worst experience of fresh brew ever.,0
652,652,Toit,4.7,Apnav Poptani,5.0,"I was keeping the track for their opening in pune. Since they are a brand in banglore already.

This Tuesday we finally decided to pay a visit after our office.

First Impression first:- The place was like a Friday on Tuesday night. All seats occupied and music on roll. Serves with tray full of beer glasses and ashes from wood fried oven at on end.

We got one of the high chairs near the tree.

We ordered a few beers which included Weiss, Colonial, Basmati, Dark night, TinTin. Except Basmati, I would suggest all of them. Ranging from light to heavy beers.

We ordered Spicy chicken pizza. The toppings were basic but tasty. I became the fan for the crust, being a thin crust pizza the...read more",1
653,653,Toit,4.7,Aishwarya Jadhav,5.0,Awesome place! Beautiful arrangement! Good Service! Good food! Good Music! Clean washrooms! Nice parking space! Happy party environment! Overall new best place to chill out in town.! #PartyPlace 😉😉,1
654,654,Toit,4.7,Ashish R,5.0,"I have been to Toit, Bangalore which was pretty good and Tout, Pune very much lived upto my expectations.

It was Sunday afternoon when we visited Toit and we preferred sitting indoors because of the summer heat but they do have outdoor seating which is open and spacious, there is seating area near the Pizza kitchen which is a good past time if you prefer sitting around there. Indoors was really pleasant, the temperature was perfect and helped us beat the heat. One more thing that I liked that this place is pet friendly and would consider taking my dog next time.

Service also was really good. Shoutout to Amol & Niru who made sure that nothing bothered us.

Coming to the Beer, we called...read more",1
655,655,Toit,4.7,Yashodhara Patankar,5.0,"What place!!! So on a Saturday afternoon we randomly reached this place... We tried beer samplers to start with. The server was sweet enough to walk us through the tasting. We then ordered beers, chilli cheese bhajiyas and lemon chicken to start. The bhajiyas where everything promised and more!!! Must try!!! We even had Mac न cheese poppers न Andhra chicken with appam. They were also very good. And the ambience! So much natural light yet cool... Totally loved this place. It ticks all our boxes: good beer, great food, amazing ambience to hang out and have a good time.",1
656,656,Toit,4.7,Palash Agrawal,1.0,"Case of Anticipation and Big Disappointment.
Waited for the table for 2 hours and finally got the table at 11:30 and then Toit guys said we will not serve the food and will only serve food without any prior information.
Had high expectations from this place but they lack such essential elements of hospitality.",0
657,657,Toit,4.7,Garima,1.0,Alltough the ambiance is good you always have to wait for table moreover after 11:45 u can not order food n they don’t tell you prior ... such a unworty place to be,0
658,658,Toit,4.7,Abhishek,4.0,"Have been to the Bangalore one earlier, but this one is even better.
Nice ambience, decent food and drink options.
Ordered Watermelon and feta salad and couple of more starters which could have been better, the service was quick though.
Overall a nice place.",1
659,659,Toit,4.7,Rohit Kolarkar,4.0,"Highly impressive ambience and surely a recommended place for those who enjoy freshly brewed drinks. TinTin is lite yet refreshing. Mac n cheese balls were sort of bland and quite a disappointment for the taste buds. However Andhra chilli chicken is one of its kind. All in all its a beautfiul place to spend the evenings especially on the weekend , vegetarian food needs a little attention .",1
660,660,Toit,4.7,Reetu Pathariya- Vasing,5.0,Very nice beer and food... One of the best brewery... Must try lamb shanks and steak. All the brewed beer were good But we like Toit tintin the most.,1
662,662,Toit,4.7,Utkarsh Patil,4.0,Very good ambience and service. A lot of variety of beers with good explanation. Food is average. A good place to hang out and if you're a beer lover then it is a must visit.,1
663,663,Toit,4.7,Pavel Biswas,4.0,"Really nice place, nice ambience which i will remember... I clicked food photos but unfortunately i forgot to click beer fotos... Food was okayish and beer was awesome... 😎
In short i really liked this place...",1
664,664,Toit,4.7,Ajnavi Cynthia,4.0,"Ambience is too good, amazing place for couples or for a date. Upscale crowd, love the food..beer which i tried was very mild but it was good. Music was not that good. They have one Labrador, good entertainment for customers, he was adorable. You cn go wid family if they r ok wid drinks...",1
665,665,Toit,4.7,Komal Parikh,5.0,Awesome place .. been here on a Sunday afternoon. Perfect place for a day drinking and spending time with your friends and family. The people are friendly here and beer is even better. Waiting for them to open in west side of the city ... Cheers guys.,1
667,667,Toit,4.7,Anju Beniwal,4.0,"Could stay only for drinks as did not get table even after 45 mins
Amazing lively place with great ambience and vibe and young crowd.
Drinks were great and prepared with love in front of us
Smart move of allowing bar access while you are waiting for table
Cons - they need to be able to predict table timing better.
Limit people to enter even if for bar since it becomes crowded if not limited
Cannot review food as did not get to eat :(",1
668,668,Toit,4.7,Aster20990,5.0,One of the few places that is bar themed and serves excellent food. Absolutely loved what I ate there. The pizzas deserve a special mention.,1
669,669,Toit,4.7,Tulika Singh,4.0,Music and ambience is quite great. Better book your table before you go. Ordered lemon chicken and margarita pizza. Both was equally great and worth it.. And as a beverage we order sample beer to which I will say it was ok ok and not so bad nor too good. Though they need more attention to their management.,1
670,670,Toit,4.7,Aihik Barua,5.0,"Liveliest place in Pune. Yes crowded and you need to wait in a long queue, but hey that’s the fun in that. You would ditch the table and chairs and stand and chug those amazingly brewed beers and gorge on pizzas and beef patty.",1
671,671,Toit,4.7,Vibhuti P,4.0,I celebrated my birthday there last month and had amazing time with my friends. The ambience is very fun and positive. I loved the vibes of this place. Food was equally good.,1
673,673,Toit,4.7,Kartikeyan Thevar,5.0,"This place is first class beautiful ambience good management, had been here on a Sunday evening and the place was already full around 7 with good crowd pleasant music making the evening pretty decent I had their white beer which was really good had an Andhra chilly chicken it was good nice service the place is very neat and clean, I didn’t have much time so couldn’t try much things but I m surely going to be a regular here, I am in love with this place and m happy it’s here in pune wanted to try while I was in Bangalore but I didn’t hav the patience to wait for an hour...but the wait is worth 👍",1
674,674,Toit,4.7,Sheetal Nadkarni,4.0,"I am huge fan of Toit from Bangalore. Years back I had been there and the ambience was superb. I wished they were in Pune. Recently my wish came true. Excellent place here too. Brews are superb. My favourite is Belgian Style fruity Ale.
Also food menu is refreshing. Serving classics with a twist. Andhra delicacies worth a try. We tried egg pattice which is their take on iyengar bakery pattice. Pizza was fine, but blue cream cheese sauce wasn't enough.
Note- place keeps busy. So make sure u book a table in advance or reach early.
Ambience 5
Service 3
Food 4
Beer 5++",1
675,675,Toit,4.7,Mittali,4.0,"In love with the ambience of this place ! I had already visited their Bangalore branch and trust me it's still my favorite, I hadn't expected the Pune outlet to surpass my expectations! I was wrong
Though its a brewery the food here rather the dish that I tasted here was amazing and something that I had never heard of!
Highly recommended :
Moussaka : the dish being suggested by our attentend there, was a complete rockstar
Consisting of eggplant, rice, exotic vegetables in a coconut based curry, the taste left me speechless !

I'm a non alcoholic person , but my friends tried their stout i.e their Indian Pale Ale and Belgian wit bier!
Both the drinks were good",1
676,676,Toit,4.7,Gurdayal,5.0,"Love the ambience and the service is great as well!
I don’t mind going here 100 times.. one of the best places to chill out with friends or family",1
677,677,Toit,4.7,Darshika Singh,5.0,"What a place to have fun, I was mesmerized by this place , the ambience, the location. Their food and drinks are fantastic. Plus the crowd is good. I am not a big fan of brewed beer so I just tried their sample beers which were good. Apart from that their cocktails are on point. The classic margarita pizza is something you should try here. Such thin crust and good amount of cheese. Apart from that try their lemon chicken.
P.S you should book the table before hand as we had to wait more than hour to get a seat and their service is too slow. Rest enjoy your beer and good food and music.
Food-4.5/5
Ambiance-4.5/5
Service-3.5/5",1
679,679,Toit,4.7,Kamal,4.0,"What a place in Kalyani nagar , Great crowd , Awesome pizza & yes again fr Beer lovers , only 1 thing they close food oders by 11.15 , & drinks aftr an hour , i feel tht should be little extended fr a place like this , good service , good people & great food ...",1
680,680,Toit,4.7,Rupali Markan,5.0,"The best thing about this Place is the ambience.
The food is good🔥 we tried potato wedges, mac n cheese poppers and pizza.
The weekend here is lit. The music and the vibe around will make you fall in love with place.
Preferably sit outside, for that go early since tables get booked really fast.",1
681,681,Toit,4.7,Hashmita Raut,5.0,"This place has my heart! If you’re a brewery fan, I recommend you to go to this place. But before visiting, you must ensure to book a table! Else you’ll be standing in the bar!😅
Food I ordered:
Lemon Chicken 💛💛💛💛
Mac N cheese Balls 💛💛
Spicy chicken pizza 🍕 💛💛💛💛",1
682,682,Toit,4.7,Nidhi Verma,5.0,"Went with my friends as they were craving for some beer.

I liked the overall environment and ambience of TOIT!
Dim lights, nice music I just loved it.",1
683,683,Toit,4.7,Ankita Khole,4.0,"Ambience and atmosphere was excellent but
Food was not so good, it was average.
We visited this restaurant by reviewing on Zomato but food was little disappointing .
Service was good, they accepted and reduced a amount of few dishes.
Hope they serve good food.",1
685,685,Toit,4.7,Sheetal Tiwari,1.0,My friends decided to throw their bday treat here but Kevin and Devan couldn’t even play the song “it’s my birthday” !! I wish they did that for us to have a memorable review to write ! But I hope they consider hospitality aswell and not just fat cheques!!,0
686,686,Toit,4.7,The Gourmet Therapy,5.0,"Its a must visit if you love beers and good food. We ordered dal pakwan, couple of pizzas, andhra chicken, mac and cheese balls, kurkuri bhindi and everything was top notch👌🏻. The ambience is amazing. Since its a new place it can get a little crowded over the weekend, but still worth it.

Food: 4
Ambience: 5
Service: 5",1
687,687,Toit,4.7,Prateek Shrivastava,4.0,Went Toit on 18th Apr Thursday.Ambience was fantastic good with both friends and family. Tried all beer options and was a nice experience. Though the food menu was a let down. Andhra chicken was not even close to authentic andhra chicken. And chicken hot wings turned out to be barbeque sauce wings.,1
688,688,Toit,4.7,Shrishail,4.0,"Overall a nice place. The crowd is awesome and the food is delicious!

BUT

They strictly enforce the age rule for alcohol here (which I did not see anywhere else in Pune) i.e. They won't serve you any alcoholic beverage if you are under 21 AND they will serve you ONLY Beer and Wine if you're under 25. They did not even serve Sangria for a 22 year old! They only serve beers made by them and I did not like a single beer.
So if you're Under 25 and want to drink, give it a skip.

1. Fish Pollichatu was very delicious was cooked and served in Banana leaves..
2. Murgh Biryani was served with a boiled egg and was mouth-watering.
3. Spicy Chicken Pizza was large and tasty.",1
689,689,Toit,4.7,Kunal Sonawane,5.0,I order takeaway My personal favourite Beer Tin Tin After Long Time I Drink But I can't Believe It' is Same Similar Taste 😋 Delicious Beer It's Really Great Time At Home With Tintin Thanks Toit Cheers Gay's 🍻,1
691,691,Toit,4.7,Chetan Ingle,4.0,"#Toit in KalyaniNagar .. A must visit in this heat for the freshly brewed drinks 😋😀👌🏻👍🏻... This place has a gr88 ambience with good food.

We had ordered the lemon chicken,Andhra chilli chicken and the Spicy Chicken- Wood Fired Pizzas. All the food items were good and the best was Andhra chilli chicken👌🏻👍🏻😋😀.",1
692,692,Toit,4.7,Sayandeep Chatterjee,5.0,"""The best microbrewery there ever was!!""

I have been a Toit fan since 2015. And from the first day that I had Tintin Toit till the present date, I keep on saying that they brew the best beer in whole of India. I am one of the biggest fans and a regular visitor of Toit, Bangalore. And I have also visited the ones in Mumbai and Pune. Without a doubt, they are the best microbrewey I know. My personal favorite is the Toit Weiss.
And when it comes to food, the pizza is the best thing to have alongwith the beer.
I find the ambience as one of the best there is to offer. They play really nice music that is not too loud.
Overall, it's my favorite pub and I'm sure plenty of other people...read more",1
693,693,Toit,4.7,Sakshi Zanwar,2.0,"Visited this place multiple times and have been disappointed with the service each time. We come back for the vibe this place has to offer but they do not serve you as expected. Good food, great beers, lost stars because of the customer service",0
695,695,Toit,4.7,Sachin Shinde,4.0,"Located next to Bishop's School, Ramwadi Kalyani Nagar. Outdoor & Indoor sitting with
super ambience. Pulp Fiction painting of main characters, on one of the wall inside is simply amazing.

Ordered Tester consists of 6 nos. 90ml beers.
Pune Lager, Hefeweisen, Belgium Wheat were awesome.

In Appetizers, Andhra style spicy Chicken was quite good, complimenting Beer & Ghongura filling of Chicken wings were nice.

For 'Traditional' Beer lovers, this place is must visit, to taste variety of brewed fresh Beer.

🍺 🍻🐔🍗🍸🍹 🍖🌶️🥚🥃🍷

Ambience: 5/5
Food Taste: 4/5
Service: 4.5/5
Hygeine: 4.5/5
Value for Money: 4/5",1
696,696,Toit,4.7,Mohit Maheshwari,5.0,"One of the best places in Pune. My old time favourite from Bangalore. This place is rrally huge, can host multiple.people at a time. Toit's brewery is best in town.",1
697,697,Toit,4.7,Dhruva,4.0,The varietys of beer was nice and they hand out samples too the food was on point but people who sit on the bar counter wont get to open a tab they have to pay for every drink the ambience was good and also groovy the crowd which comes to toit is always a standard crowd but once crowded it gets difficult to stand and drink i think they should have made a point that the people dont get suffocated,1
698,698,Toit,4.7,Vinz Pai,4.0,Excellent craft beer crispy and fresh like Indiranagar. Fire pizza was excellent. Watermelon feta cheese was not good as there was no much feta at all. Fish steamed in banana leaf was not upto the mark as it was small chunks not the whole fish wrapped in leaf.,1
699,699,Toit,4.7,MZ,4.0,"The ambience of the place is really nice. The outdoor is very welcoming. They have good options of beer. The food was ok, nothing great and not bad either.",1
700,700,Toit,4.7,Ashish Tiwari,4.0,"""Nice brewpub and taproom""

Well! it is located at the same place where earlier Soho was. Entire place re-done and now has fabulous looks. Multiple seating options; right from convectional to bar chairs. Nice background score. Fantastic ambiance I must say. Two visits so far and I have found the place buzzing with crowd at both occasions (both were weekends).",1
701,701,Toit,4.7,Shiksha S Thukral,5.0,My husband took me to this place!! The club seemed happening and was freakingly crowded!! Somehow due to the help of the staff we managed to get a table!! They were extremely sweet nd courteous!! Loved the vibe!!,1
702,702,Toit,4.7,Rahul Bajpai,5.0,"Since everyone I know had already been to Toit and been Toitting a lot about it, I felt it was time to check this place out.

Reached there at about 8.45 pm Friday night (yesterday), made a reservation for a table for 2. I was told I was Number 25 in the queue.

The place is huge. But it was full. And it was buzzing. Indoor seating, Outdoor seating, 1st floor seating, the place was teeming, it seemed half of Pune was there.

Managed to find two seats near the Bar. We had Virat Kohli first and Andre Russell later for company and to keep us entertained.

2 Indian Pale Ales, 2 Irish Red Ales consumed me and Wife had the Belgian Witbier.

The IPA and the IRA were Malty, Hoppy and made me...read more",1
703,703,Toit,4.7,Bhawna Garg,4.0,"Toit is a nice place buzzing with people..the ambience is nice..however it gets really over crowded on the weekend. Visited there on a Friday night and it was jam packed. Literally had to squeeze myself thru the crowd to go from the bar to the table. We were lucky enough to get a table. Many people were just sitting on the side walls, under the tree. However the entire ambience, music, the vibe was so cool that none of us complained about the crowd. I mean who plays Michael Jackson or James Blunt these days. Coming the food, the cheese margarita pizza was really nice..the mushrooms were extremely spicy for my pallet and lacked flavours.. it was just chilli.. their crafted beers are nice.....read more",1
704,704,Toit,4.7,Himanshu Gupta,5.0,"Best craft beer i had in life, almost visited most of the breweries in pune and delhi. Crowd is very young and fab and you will fall in love with the place easily.",1
705,705,Toit,4.7,Parul Singh,5.0,"One of the best restaurants I have been to recently in Pune and certainly one of the best breweries!
Toit is a treat when it comes to ambience, music, crowd, space ,drinks and food!
Pizza: We ordered half veg and half non veg tray. The spicy chicken was good, for the veg, we ordered awzberg( the one with sundried tomatoes), which was more like Margherita as there were hardly any toppings on it.
For Beer: we ordered TinTin,as I am not a fan of alcohol, beer etc and the fact tgat I drank 100 ml of it is enough to tell the beer is good.

Inspite of the veg pizza, I give them a 4.5 for the ambience, feel and brews.",1
706,706,Toit,4.7,Aditi Lakhe,2.0,"We visited on a Friday night and this place was packed! We didn't get a table throughout the night and we spent our evening under the tree.

Yays:
The beers. Do get a tester (Rs. 300) before ordering to decide what you'd like. I'd recommend the Tintin for light beer lovers and Dark Knight for the ones who prefer their beers darker.
The haleem samosa was yummy.

Nays:
The place was so packed that the service suffered. It was very slow. We had to get our own drinks.
Also because of the people it was too hot to be there. The AC section is small and I guess the outdoors need more fans.
The farmer salad was bad. Like really. It had zero dressing. Felt like I was having just veggies from the...read more",0
707,707,Toit,4.7,Sakshi Singh,5.0,"The ambience of TOIT is amazing!!! There have outdoor and indoor seating both. Ohh and not to forget rooftop! 😍
Plus the drinks and Food were nice too.

We went on Saturday, it was pretty crowded and you couldn't get the table but still we enjoyed.

So, if you even wanna try this place, go a bit early. I am definitely sure you will love it!",1
708,708,Toit,4.7,ZANKRUT MODI,5.0,"Ambience : 5 out of 5
Beer: 5 out of 5
Food 4.5 out of 5
Staff : 4.5 out of 5.
So far the best vibe in pune. Awesome crowd and awesome drinks. Their beers were really good and fresh. Staff was friendly. Try their dark knight and basamati blonde beer",1
709,709,Toit,4.7,Nirav Shah,2.0,"If you haven't had good brewed beer ever in your life and want a place where you get cheap beer and finger food, this is the place to go.
I have been in TOIT Bangalore which is in my top three places for good beer.
So evidently, when I heard about the place opening in Pune, I was super excited.
This place was a huge disappointment though. You may have a better experience than me if you haven't cherished the Bangalore brew, but this is not a place I would ever visit again. Even though they have such low prices on starter food and beer.
The rates are only reason I have given this place two stars.
We ordered lemon chicken with was way too lemony for our taste. And Alfredo pasta was something...read more",0
710,710,Toit,4.7,Rahul Sarkar,1.0,"Ok This place is awful.
Food : Very bad, we ordered chicken wings, fishes, eggs, pizza, pasta, cheeseballs and many items. All were equally bad. Nothing gave us wow taste. Everything is either too cheesy or too sour. They neither have garlic bread nor french fries.

Drinks: Vodka whiskey are fine. But their in-house beers are pathetic. We tried basmati, weiss& tinin. They neither gives you kick nor any cravings for more. You only feel full.

Ambiance : ok, Nothing much to cover their bad food & drinks.

Price: This is meant for super rich or super fools. They charge for beer tasters though they initially said its free. They charge whooping 7.5% service charge. We paid 22,000 for 10 ppl....read more",0
711,711,Toit,4.7,Pritha Ghorai,5.0,Great place with awesome food and friendly services. Everything was well arranged and ambience is very friendly for all kind of age groups. Thumbs up to all the staff and management.,1
712,712,Toit,4.7,Rahul Kusale,4.0,TOIT heard of it from my friend... So visited place on Sunday for lunch n some inhouse breweries... Place was full packed... Gr8 ambience... Loved their hot wing n their south chilli chicken... Both were well marinated n cooked... Was spicy too enjoyed.. breweries were not that chilled but still had it... Couldn't get the taste as it wasnt chilled.. recommended....,1
713,713,Toit,4.7,Pranay Sonigara,5.0,"I liked the place. New one in town. Should visit. Should taste Tintin Toit, their own crafted beer. Pocket friendly. Good service. Good ambience.",1
714,714,Toit,4.7,ABHAY SANGAL,5.0,"Finally found a place with good quality fresh beer in Pune. Loved the different variant. Barely found any place to stand (forget sitting) as we reached late on a Saturday night, but overall a great experience",1
715,715,Toit,4.7,Rohit Palsule,4.0,"This is one amazing place to visit on weekends with your friends. It’s pretty brightly lit and vibrant, so full marks on the ambience front. However didn’t like the indoors much. If you plan to visit this place, come here a bit early so that you can get a place to sit in the open air setting. Come to the food, we tried something called deconstructed scotch eggs and let me tell you it was ammmazzing. No exaggeration there. It’s a must try. Along with that we had the spicy chicken pizza, it was good. Not much of a beer fan so tried the LIT, it was ok. Don’t compare this place to TOIT - Bangalore, both the places have got a different charm. All in all a good experience. Only concern...read more",1
716,716,Toit,4.7,Merilyn Pereira,5.0,"Love the ambiance, both inside and outside. The outdoor decor is that of a lovely garden. Beers are amazing too and reasonable, try them all. My fav was the tintin coz its similar to hoegarden. The bar food is pretty good too, no need for main course. Really like the music too!",1
717,717,Toit,4.7,Jagruti,5.0,"Finally visited this place...after knowing so much good about it..food , service , ambience all great..in craft beers..loved the tintin toit n basmati blonde..also tried the pune lager which was average..in mocktails tried the guava mary n tarbooz without booze..in food tried the cheese garlic bread, deconstructed egg scotch, lemon chicken , dip-it-ah i.e pita bread with hummus n egg puff..in desserts tried the tiramisu which was amazing..everything was so good place was quite reasonable..service was friendly..highly recommended...try going before 8pm on weekends as getting a table would be very difficult.",1
718,718,Toit,4.7,Kshitij Bajaj,5.0,"Visited on a weekday evening..got spacious seating..both indoor and outdoors..this place starts filling up fast after 7pm.
Tried dark knight beer .whch is a dark beer and also tried tintin toit..which was the best among others.
For starters.. ordered egg puff which were delicious.
Service is prompt.
Will come again soon",1
719,719,Toit,4.7,Mahesh Patil,4.0,Good for beer lover..Had a good time with the friend who visit the Bangalore outlet regularly. Good pairing of food along with the beer. The quality of beer has perfect blend and with exact flavour. Managed well with warm hospitality by the Manager and staffs. Will be back soon.,1
721,721,Toit,4.7,Amit Avinash,5.0,"Had been to Toit, Mumbai but I was surprised by how much this place is better than that. Super cool ambience with multiple seating options- inside, outside, etc. This place has a real buzz to it. Crowd is awesome and sophisticated. We had a wonderful experience here.

I had already tasted their beers but unfortunately, their Pune Lager was not available. Anyway, I got started with the Tintin Toit, the belgian wit bier, and it was awesome. I moved on to their Irish Red Ale(the Kalanick Red), the Dark Knight (their dark stout) and finished with the Basmati blonde. I have to say I was extremely impressed with their beers. Each offering was special in its own way.

A special note of...read more",1
722,722,Toit,4.7,Amit Kanodia,5.0,"I went to this place on Saturday night, and was mesmerized to see the crowd, the gatherings, the ambience, the aura and the whole ecosystem. I had known this place for beer, and would know it more for beer only.

They had 7 different varieties of craft beer and each of it was better than the other. I started with Dark Knight, which is a coffee and chocolate beer, and it was amazing. Belgian Wheat Beer was also amazing and the one with Basmasti Rice too tasted great.

From the food menu, paneer was awesome and wood fired pizza was probably the best. Non Veg delicacies were amazing.

All in all, this place deserves a visit.",1
723,723,Toit,4.7,Meghana D,5.0,Service was excellent Joel was amazing took good care of us and helped us even though we didn't like the pizza he changed for us which was good thing very friendly guy will surely come back and ask for him thanks Joel....,1
724,724,Toit,4.7,Anuja,4.0,"Nice and vibrant place to hang out over beer....
Beer lover would definitely love this place....
Good Variety of brewed beers are available to try on.....
Food is also awesome to have....
Overall good place and first time experience was good",1
725,725,Toit,4.7,Milind Sarfare,5.0,"Great decor, fantastic beers & delicious food. A must visit place! This place has a class & decorum, not just yet another pub place (thankfully).",1
726,726,Toit,4.7,Paridhi Pamecha,4.0,"Tried the tintin toit and the kilnaleck red recently. Loved the kilnaleck. The ambience is pretty good, chilled out vibes, nice decor and a great music. Perfect place to unwind the day. Yet to try the food.",1
727,727,Toit,4.7,Rajesh Kumar,5.0,We visited Toit Pune on last Monday for team dinner. This place is for beers 🍻 lovers. We have tested all beer. Food is good. Must visit place.,1
729,729,Toit,4.7,Anurag Sah,2.0,"The food we ordered was totally blant in taste , it tasted like without salt . We came for a birthday party with a group of people 20 in number . Service was really slow . We ordered for a beer glass and after continuous reminders a single glass came in 25 mins , that was not worth of waiting . Ambience was good , 2 rating is because only of the ambience . Without it place is a no go from my side , only for the Ambience i would visit it again . If I am paying a 40000-42000 of bill I need perfect service . Really didn’t enjoyed the food , pizza tasted really horrible . Don’t know if you have anything more in the food menu that would
Taste food . To reduce the TAT of serviceability...read more",0
730,730,Toit,4.7,Abhinandan (aka T-T00N),4.0,"Memoirs of ecstatic Friday eves and hungover Sundays in Indira Nagar, Bangalore, came right through, and, this was miles away, on a Friday (ecstatic), in Kalyani Nagar, Pune! 

The moment we stepped in, it was like being teleported to the Indian Silicon Valley, especially the crowd and vibe, not the usual Pune one, far from it, and quite beautiful and amazing! I love the fact that they have maintained the pub element by not keeping your mundane console and dance floor, where after 10-11 pm, it looks and feels like a ball for drunk Bolly fanatics screaming needlessly at the DJ! the track selection of the guy playing was spot on - a mix of all-time greatest from rock, retro, RnB, blues, et...read more",1
731,731,Toit,4.7,Karan Kapoor,5.0,The beers are awesome. The food is awesome. The place is awesome. The ambience is awesome. The staff is very friendly. Definitely a place worth going back to again and again.,1
732,732,Toit,4.7,Soniya Patil,2.0,"The food is strictly okay.
Mushroom Risotto- 2.5/5
Rice Poppers- 2.5/5
Seating - 3.5/5
Baked cheesecake- 2.5/5
The cheesecake was hard and stale.",0
733,733,Toit,4.7,Vivek Tomar,5.0,"Amazing beer and beautiful crowd . Food is expensive. Ambience is amazing and the service staff is also polite. Went on Sunday, not sure if dj nights are also there.",1
734,734,Toit,4.7,Diksha,5.0,"It's an amazing place , lovely ambience love the stone interiors done inside overall its huge a place and they have variety of beer served there ( they serve black beer too ) I had the Belgian white beer it was amazing. The food taste is yumm and the service provided is good !! It's a good place to chill out with friends. Had a great time !",1
